reaction	jaccardindex	KolmogorovSmirnow	KolmogorovSmirenow_pvalue	T - test_pvalue	Anova_pvalue	Wilcoxon_Mann_Whitney_pvalue	Mean	Std	Mode	Median	skew	kurt	Ttest_H	Ttest_pvalue	minFlux_brainmetastasis	minFlux_breastcancer	maxFlux_brainmetastasis	maxFlux_breastcancer	perc_brainmet/breastcancer	perc_breastcancer/brainmet
HMR_9159	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	-0.0014743__-0.0016438	0.00043012__0.00054177	-0.0032168__0	-0.0014519__-0.0016263	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-0.0017106	-0.0019116	-0.0012088	-0.0013497	0.8928	1.1201
HMR_9167	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	-0.0014743__-0.0016438	0.00043012__0.00054177	-0.0032168__0	-0.0014519__-0.0016263	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-0.0017106	-0.0019116	-0.0012088	-0.0013497	0.8928	1.1201
HMR_9215	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	-0.0022051__-0.0024586	0.00064332__0.0008103	-0.0048112__0	-0.0021716__-0.0024324	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-0.0025585	-0.0028591	-0.0018079	-0.0020186	0.8928	1.1201
HMR_9235	0.0	-0.6896	0.14496	0	0	0	-12.0379__-37.8145	3.51194__25.888	-52.3147__-17.9587	-11.8551__-33.1791	-1.6311__-0.93	15.8353__3.99917	1	0	-13.967	-53.7192	-9.8695	-17.3314	0.3573	2.7987
HMR_9242	0.90594	0.0124	0.14496	0.002884	0.0043443	0.0017596	281.1119__289.2163	200.193__201.624	1000__-7.63585e-14	279.1852__290.368	0.088259__0.042264	2.8258__3.3943	1	0.002884	136.8932	158.9837	422.0638	417.3321	0.96149	1.0401
HMR_9253	0.40344	-0.278	0.14496	1.5251e-282	2.368e-307	2.0072e-313	-185.1326__-309.6969	232.6714__229.1576	-1000__-500	-179.897__-312.0794	-0.12348__0.23381	3.1983__3.3415	1	1.5251e-282	-334.9912	-469.6533	-25.3488	-155.742	0.57645	1.7348
HMR_9254	0.4199	0.2975	0.14505	3.9339e-307	0	6.4954e-319	-292.567__-118.2829	291.1142__325.3852	-1000__-1000	-309.4574__-119.7342	0.24239__0.11101	2.8912__2.9082	1	3.9339e-307	-496.6038	-342.3126	-92.3141	98.7738	2.5845	0.38692
HMR_9262	0.61124	0.1668	0.14513	5.3156e-133	1.0235e-141	6.7435e-119	-357.2829__-278.7719	234.9463__198.0477	-500__0	-327.7523__-242.4133	-0.49238__-0.75743	2.4587__3.1222	1	5.3156e-133	-517.9786	-407.859	-163.6914	-118.5183	1.352	0.73962
HMR_9269	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	-0.0014743__-0.0016438	0.00043012__0.00054177	-0.0032168__0	-0.0014519__-0.0016263	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-0.0017106	-0.0019116	-0.0012088	-0.0013497	0.8928	1.1201
HMR_9271	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	-0.00036752__-0.00040977	0.00010722__0.00013505	-0.00080187__0	-0.00036193__-0.0004054	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-0.00042641	-0.00047651	-0.00030132	-0.00033644	0.8928	1.1201
HMR_9273	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	0.00036752__0.00040977	0.00010722__0.00013505	-6.4579e-16__0	0.00036193__0.0004054	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	0.00030132	0.00033644	0.00042641	0.00047651	0.8928	1.1201
HMR_9285	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	-0.86918__-0.96911	0.25357__0.3194	-1.8964__0	-0.85598__-0.95876	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-1.0085	-1.127	-0.71261	-0.79567	0.8928	1.1201
HMR_9290	0.78049	-0.0621	0.14522	1.9199e-14	8.7359e-15	1.1071e-19	61.8442__35.3818	227.2127__254.1488	0__1000	50.904__25.4133	-0.10963__0.22161	4.0375__3.8702	1	1.9199e-14	-76.5493	-123.2688	205.5	180.0518	2.003	0.49924
HMR_9292	0.79044	-0.1043	0.14505	5.8067e-27	1.659e-25	1.0022e-36	218.4331__187.0618	192.4548__230.3023	0__1000	217.6772__167.8027	0.10314__0.38197	2.6977__4.3733	1	5.8067e-27	73.4107	31.738	355.4011	329.2483	1.2972	0.77088
HMR_9297	0.44115	0.2924	0.14496	8.3003e-322	1.3039e-313	5.257e-282	-236.5826__-122.4247	213.8392__204.8973	-1000__-500	-233.8943__-125.9509	-0.052091__0.079932	2.8082__3.1465	1	8.3003e-322	-383.7413	-259.877	-85.8735	10.6887	1.857	0.53849
HMR_9348	0.51357	-0.2406	0.14496	1.2011e-133	1.13e-130	3.6016e-177	-1.6234__-1.8101	0.47362__0.59656	-7.0552__-7.4642	-1.5988__-1.7908	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-1.8836	-2.1049	-1.331	-1.4861	0.8928	1.1201
HMR_9351	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6022e-177	-0.31165__-0.34748	0.090922__0.11452	-1.3544__0	-0.30692__-0.34377	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-0.3616	-0.40408	-0.25552	-0.2853	0.8928	1.1201
HMR_9354	0.53356	-0.2623	0.14522	1.9131e-198	1.2556e-197	4.3448e-208	-277.8121__-378.612	231.0977__238.8039	-1000__-1000	-243.8609__-381.8002	-0.4238__0.00020684	2.5258__2.7052	1	1.9131e-198	-440.4748	-545.6236	-102.0655	-203.8111	0.63871	1.5656
HMR_9358	0.95862	0.0236	0.1453	2.702e-09	2.5042e-09	0.02524	172.5578__184.8519	133.939__156.6994	0__500	141.1318__145.2842	1.0205__1.3754	4.2092__5.3536	1	2.702e-09	65.2582	65.7804	256.35	264.0544	0.97142	1.0294
HMR_9362	1.0	0.0	1.0	none	none	none	0__0	0__0	0__0	0__0	none	none	none	none	0.0	0.0	0.0	0.0	none	none
HMR_9372	0.29958	-0.3216	0.14496	0	0	0	-113.5718__-176.4316	42.36157__112.9871	-376.298__-500	-108.6908__-156.9749	-0.93837__-0.83114	5.1164__3.6556	1	0	-137.9087	-248.8517	-83.9121	-88.4962	0.69241	1.4442
HMR_9378	0.51357	-0.241	0.14496	1.2011e-133	1.13e-130	3.6006e-177	-0.067152__-0.074872	0.019591__0.024676	-0.29183__-0.30875	-0.066132__-0.074073	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-0.077913	-0.087068	-0.055056	-0.061473	0.8928	1.1201
HMR_9383	0.48479	0.2767	0.14522	2.958e-236	4.3735e-266	8.2558e-257	-504.4605__-392.2848	223.0635__225.2515	-500__0	-518.1704__-381.8561	0.16744__-0.22219	2.2904__2.2803	1	2.958e-236	-669.18	-559.6646	-339.6075	-215.2547	1.357	0.73693
HMR_9389	1.0	0.0	1.0	none	none	none	0__0	0__0	0__0	0__0	none	none	none	none	0.0	0.0	0.0	0.0	none	none
HMR_9404	0.51357	-0.2406	0.14496	1.201e-133	1.1298e-130	3.6045e-177	-0.015461__-0.017239	0.0045107__0.0056816	-0.067192__0	-0.015227__-0.017055	-1.6311__-2.3303	15.8353__22.5881	1	1.201e-133	-0.017939	-0.020047	-0.012676	-0.014154	0.8928	1.1201
HMR_9406	0.69511	-0.1292	0.14496	1.5139e-55	4.2476e-56	1.7399e-64	334.3657__280.2328	243.9325__239.6645	500__500	350.1116__279.0081	-0.20227__0.079784	2.7844__2.8715	1	1.5139e-55	167.4867	107.3801	513.0098	449.4448	1.2548	0.79691
HMR_9418	0.45683	0.301	0.14513	8.3884e-276	3.2304e-281	4.4307e-281	521.9962__634.0628	216.5166__218.6669	500__0	525.3981__660.5479	-0.021241__-0.45323	2.3385__2.5356	1	8.3884e-276	364.6288	480.267	681.5828	805.3068	0.7954	1.2572
HMR_9421	0.0	0.6896	0.14496	0	0	0	12.0379__37.8145	3.51194__25.888	-2.15612e-11__17.9587	11.8551__33.1791	1.6311__0.93	15.8353__3.99917	1	0	9.8695	17.3314	13.967	53.7192	0.3573	2.7987
HMR_9422	0.056703	0.5968	0.14496	0	0	0	113.288__179.9353	42.3227__72.2938	-1.3646e-12__-2.2956e-12	108.4594__169.8568	0.9378__0.9604	5.1098__4.8027	1	0	83.645	129.8888	137.5819	219.3192	0.63853	1.5661
HMR_9437	0.94098	0.035	0.14496	0.00212	0.0021576	0.0015348	443.9507__451.1429	164.3979__167.115	1000__1000	434.5876__445.0233	0.24815__0.21623	2.6455__2.7756	1	0.00212	320.167	329.6774	559.8008	564.7245	0.97655	1.024
HMR_9440	0.42619	-0.3074	0.14496	2.1149e-297	0	2.0412e-310	-417.8832__-496.2497	136.8695__144.6437	-722.9938__-1000	-409.6425__-488.4078	-0.3035__-0.17642	2.8087__3.0022	1	2.1149e-297	-513.6593	-593.2908	-316.7548	-395.8012	0.83873	1.1923
HMR_9450	0.76193	-0.0709	0.14505	2.6435e-34	5.3043e-37	1.5337e-38	-200.0885__-227.7566	148.9156__158.2114	0__-500	-173.5546__-204.6772	-1.0585__-1.036	4.7564__4.8664	1	2.6435e-34	-290.6356	-324.3718	-80.9329	-105.1528	0.84794	1.1793
HMR_9456	0.56489	0.2012	0.14548	2.609e-170	1.0487e-173	5.936e-162	-334.1626__-257.8071	202.6893__176.9629	-500__-500	-314.4739__-228.1167	-0.57202__-0.7695	2.9238__3.3043	1	2.609e-170	-459.3928	-372.0152	-177.7783	-115.5416	1.3786	0.72539
HMR_9463	0.84954	-0.0434	0.14496	8.6305e-07	5.8797e-07	8.5089e-10	338.9321__326.503	174.3213__177.4436	0__0	327.6228__308.7233	0.25292__0.56058	2.3771__3.1954	1	8.6305e-07	199.9592	195.0296	467.4483	431.3908	1.0612	0.94231
HMR_9690	0.0	0.7247	0.14505	0	0	0	-128.4606__0	125.1214__0	-624.0793__0	-102.2762__0	none	none	1	0	-201.7052	0.0	-32.5533	0.0	-Inf	0
HMR_9691	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	-0.0014743__-0.0016438	0.00043012__0.00054177	-0.0032168__0	-0.0014519__-0.0016263	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-0.0017106	-0.0019116	-0.0012088	-0.0013497	0.8928	1.1201
HMR_9729	0.51357	-0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	-14.4656__-16.1287	4.2202__5.3157	-31.5618__0	-14.2459__-15.9565	-1.6311__-2.3303	15.8353__22.5881	1	1.2011e-133	-16.7838	-18.7558	-11.8599	-13.2423	0.8928	1.1201
HMR_10024	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	35.612__39.7064	10.3895__13.0863	77.7001__0	35.0712__39.2825	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	29.1972	32.6004	41.3192	46.1739	0.8928	1.1201
HMR_10047	0.51357	0.2408	0.14496	1.2011e-133	1.13e-130	3.6024e-177	0.48288__0.5384	0.14088__0.17744	1.0536__0	0.47555__0.53265	1.6311__2.3303	15.8353__22.5881	1	1.2011e-133	0.3959	0.44205	0.56027	0.6261	0.8928	1.1201
Fatty acid activation (cytosolic)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
HMR_0156	0.51097	0.2528	0.14496	1.6652e-191	1.976e-187	3.5275e-193	252.7512__343.263	190.7576__240.1299	500__1000	250.8395__346.8695	0.11864__-0.29631	2.7399__4.1238	1	1.6652e-191	109.1053	181.7359	387.4848	511.7718	0.72315	1.3828
HMR_0168	0.76451	-0.1016	0.14548	2.1072e-31	5.0402e-32	7.0676e-29	246.4854__197.7356	297.1505__287.0669	500__500	239.6094__199.8405	-0.098017__-0.13825	2.6402__2.9575	1	2.1072e-31	41.8359	6.8143	469.9505	395.9089	1.199	0.83403
HMR_0180	0.0	-0.3357	0.14505	0	0	0	0__-112.3469	0__248.7009	0__-906.31	0__-109.1618	none	none	1	0	0.0	-286.4041	0.0	57.826	0	-Inf
HMR_0188	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	0.08847__0.11351	0.05418__0.059169	0__0	0.083064__0.11081	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	0.045888	0.070525	0.12371	0.15321	0.74961	1.334
HMR_0192	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	0.08847__0.11351	0.05418__0.059169	0__0	0.083064__0.11081	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	0.045888	0.070525	0.12371	0.15321	0.74961	1.334
HMR_0196	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.2913e-210	2.9416__3.7742	1.8015__1.9674	0__6.5042	2.7619__3.6844	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	1.5258	2.345	4.1135	5.0943	0.74961	1.334
HMR_0200	0.49557	-0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	-0.08847__-0.11351	0.05418__0.059169	0__0	-0.083064__-0.11081	-0.689__-0.50447	3.6412__3.7694	1	1.2555e-205	-0.12371	-0.15321	-0.045888	-0.070525	0.74961	1.334
HMR_0204	0.49557	-0.2894	0.14496	1.2555e-205	7.7119e-209	9.2913e-210	-0.08847__-0.11351	0.05418__0.059169	0__-0.19562	-0.083064__-0.11081	-0.689__-0.50447	3.6412__3.7694	1	1.2555e-205	-0.12371	-0.15321	-0.045888	-0.070525	0.74961	1.334
HMR_0209	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.2913e-210	0.08847__0.11351	0.05418__0.059169	0__0	0.083064__0.11081	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	0.045888	0.070525	0.12371	0.15321	0.74961	1.334
HMR_0213	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.2913e-210	0.08847__0.11351	0.05418__0.059169	0__0	0.083064__0.11081	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	0.045888	0.070525	0.12371	0.15321	0.74961	1.334
HMR_0217	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.2991e-210	49.1007__62.9975	30.0698__32.8388	0__0	46.1003__61.4994	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	25.4676	39.1416	68.6607	85.0332	0.74961	1.334
HMR_0226	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	4.8437__6.2146	2.9663__3.2395	0__0	4.5477__6.0668	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	2.5123	3.8613	6.7733	8.3884	0.74961	1.334
HMR_0233	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	0.08847__0.11351	0.05418__0.059169	0__0	0.083064__0.11081	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	0.045888	0.070525	0.12371	0.15321	0.74961	1.334
HMR_0237	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.2913e-210	0.08847__0.11351	0.05418__0.059169	0__0	0.083064__0.11081	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	0.045888	0.070525	0.12371	0.15321	0.74961	1.334
HMR_0241	0.49557	-0.2894	0.14496	1.2555e-205	7.7119e-209	9.2913e-210	-0.08847__-0.11351	0.05418__0.059169	0__-0.19562	-0.083064__-0.11081	-0.689__-0.50447	3.6412__3.7694	1	1.2555e-205	-0.12371	-0.15321	-0.045888	-0.070525	0.74961	1.334
HMR_0245	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	0.08847__0.11351	0.05418__0.059169	0__0	0.083064__0.11081	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	0.045888	0.070525	0.12371	0.15321	0.74961	1.334
HMR_0249	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	33.1319__42.5091	20.2904__22.1588	0__0	31.1073__41.4982	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	17.1849	26.4118	46.3305	57.3782	0.74961	1.334
HMR_0255	0.49557	-0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	-0.08847__-0.11351	0.05418__0.059169	0__0	-0.083064__-0.11081	-0.689__-0.50447	3.6412__3.7694	1	1.2555e-205	-0.12371	-0.15321	-0.045888	-0.070525	0.74961	1.334
HMR_0259	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	5.5294__7.0943	3.3862__3.6981	0__0	5.1915__6.9256	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	2.868	4.4078	7.7321	9.5758	0.74961	1.334
HMR_0267	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.2913e-210	0.08847__0.11351	0.05418__0.059169	0__0	0.083064__0.11081	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	0.045888	0.070525	0.12371	0.15321	0.74961	1.334
HMR_0275	0.49557	-0.2894	0.14496	1.2555e-205	7.7119e-209	9.2913e-210	-0.08847__-0.11351	0.05418__0.059169	0__-0.19562	-0.083064__-0.11081	-0.689__-0.50447	3.6412__3.7694	1	1.2555e-205	-0.12371	-0.15321	-0.045888	-0.070525	0.74961	1.334
HMR_0279	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.2913e-210	0.08847__0.11351	0.05418__0.059169	0__0	0.083064__0.11081	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	0.045888	0.070525	0.12371	0.15321	0.74961	1.334
HMR_0283	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	0.08847__0.11351	0.05418__0.059169	0__0	0.083064__0.11081	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	0.045888	0.070525	0.12371	0.15321	0.74961	1.334
HMR_0289	0.49557	-0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	-0.08847__-0.11351	0.05418__0.059169	0__0	-0.083064__-0.11081	-0.689__-0.50447	3.6412__3.7694	1	1.2555e-205	-0.12371	-0.15321	-0.045888	-0.070525	0.74961	1.334
HMR_0293	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	0.08847__0.11351	0.05418__0.059169	0__0	0.083064__0.11081	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	0.045888	0.070525	0.12371	0.15321	0.74961	1.334
HMR_0297	0.49557	-0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	-0.08847__-0.11351	0.05418__0.059169	0__0	-0.083064__-0.11081	-0.689__-0.50447	3.6412__3.7694	1	1.2555e-205	-0.12371	-0.15321	-0.045888	-0.070525	0.74961	1.334
HMR_0301	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.2913e-210	0.08847__0.11351	0.05418__0.059169	0__0.19562	0.083064__0.11081	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	0.045888	0.070525	0.12371	0.15321	0.74961	1.334
HMR_0305	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.2913e-210	0.08847__0.11351	0.05418__0.059169	0__0.19562	0.083064__0.11081	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	0.045888	0.070525	0.12371	0.15321	0.74961	1.334
HMR_0309	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.2913e-210	0.08847__0.11351	0.05418__0.059169	0__0	0.083064__0.11081	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	0.045888	0.070525	0.12371	0.15321	0.74961	1.334
HMR_0313	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	0.08847__0.11351	0.05418__0.059169	0__0	0.083064__0.11081	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	0.045888	0.070525	0.12371	0.15321	0.74961	1.334
HMR_0319	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	0.08847__0.11351	0.05418__0.059169	0__0	0.083064__0.11081	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	0.045888	0.070525	0.12371	0.15321	0.74961	1.334
HMR_0323	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	0.08847__0.11351	0.05418__0.059169	0__0	0.083064__0.11081	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	0.045888	0.070525	0.12371	0.15321	0.74961	1.334
HMR_0327	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	0.08847__0.11351	0.05418__0.059169	0__0	0.083064__0.11081	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	0.045888	0.070525	0.12371	0.15321	0.74961	1.334
HMR_0331	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	0.08847__0.11351	0.05418__0.059169	0__0	0.083064__0.11081	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	0.045888	0.070525	0.12371	0.15321	0.74961	1.334
HMR_0337	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	0.08847__0.11351	0.05418__0.059169	0__0	0.083064__0.11081	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	0.045888	0.070525	0.12371	0.15321	0.74961	1.334
HMR_0341	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.2913e-210	0.08847__0.11351	0.05418__0.059169	0__0	0.083064__0.11081	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	0.045888	0.070525	0.12371	0.15321	0.74961	1.334
HMR_0345	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.2913e-210	0.08847__0.11351	0.05418__0.059169	0__0	0.083064__0.11081	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	0.045888	0.070525	0.12371	0.15321	0.74961	1.334
HMR_0349	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	1.8579__2.3837	1.1378__1.2425	0__4.1079	1.7443__2.327	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	0.96364	1.481	2.598	3.2175	0.74961	1.334
HMR_0353	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	0.55294__0.70943	0.33862__0.36981	0__0	0.51915__0.69256	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	0.2868	0.44078	0.77321	0.95758	0.74961	1.334
HMR_0357	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	2.5435__3.2634	1.5577__1.7011	0__0	2.3881__3.1858	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	1.3193	2.0276	3.5567	4.4049	0.74961	1.334
HMR_0361	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	2.5656__3.2918	1.5712__1.7159	0__0	2.4088__3.2135	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	1.3307	2.0452	3.5877	4.4432	0.74961	1.334
HMR_0365	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	1.3049__1.6743	0.79915__0.87274	0__0	1.2252__1.6344	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	0.67684	1.0403	1.8248	2.2599	0.74961	1.334
HMR_0369	0.49557	-0.2894	0.14496	1.2555e-205	7.7119e-209	9.2913e-210	-0.08847__-0.11351	0.05418__0.059169	0__-0.19562	-0.083064__-0.11081	-0.689__-0.50447	3.6412__3.7694	1	1.2555e-205	-0.12371	-0.15321	-0.045888	-0.070525	0.74961	1.334
HMR_0373	0.49557	-0.2894	0.14496	1.2555e-205	7.7119e-209	9.2913e-210	-0.08847__-0.11351	0.05418__0.059169	0__-0.19562	-0.083064__-0.11081	-0.689__-0.50447	3.6412__3.7694	1	1.2555e-205	-0.12371	-0.15321	-0.045888	-0.070525	0.74961	1.334
HMR_0377	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	6.1486__7.8889	3.7655__4.1122	0__0	5.7729__7.7013	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	3.1892	4.9015	8.598	10.6483	0.74961	1.334
HMR_0381	0.49557	-0.2894	0.14496	1.2555e-205	7.7119e-209	9.2913e-210	-0.08847__-0.11351	0.05418__0.059169	0__-0.19562	-0.083064__-0.11081	-0.689__-0.50447	3.6412__3.7694	1	1.2555e-205	-0.12371	-0.15321	-0.045888	-0.070525	0.74961	1.334
HMR_0385	0.49557	-0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	-0.08847__-0.11351	0.05418__0.059169	0__0	-0.083064__-0.11081	-0.689__-0.50447	3.6412__3.7694	1	1.2555e-205	-0.12371	-0.15321	-0.045888	-0.070525	0.74961	1.334
HMR_0389	0.49557	-0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	-0.08847__-0.11351	0.05418__0.059169	0__0	-0.083064__-0.11081	-0.689__-0.50447	3.6412__3.7694	1	1.2555e-205	-0.12371	-0.15321	-0.045888	-0.070525	0.74961	1.334
HMR_0393	0.49557	-0.2894	0.14496	1.2555e-205	7.7119e-209	9.2913e-210	-0.08847__-0.11351	0.05418__0.059169	0__-0.19562	-0.083064__-0.11081	-0.689__-0.50447	3.6412__3.7694	1	1.2555e-205	-0.12371	-0.15321	-0.045888	-0.070525	0.74961	1.334
HMR_0397	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.2913e-210	42.3549__54.3424	25.9386__28.3271	0__93.651	39.7667__53.0502	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	21.9687	33.7641	59.2275	73.3507	0.74961	1.334
HMR_0401	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	0.64141__0.82294	0.3928__0.42898	0__0	0.60221__0.80337	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	0.33268	0.51131	0.89692	1.1108	0.74961	1.334
HMR_0405	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	4.7552__6.1011	2.9122__3.1803	0__0	4.4647__5.956	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	2.4665	3.7907	6.6496	8.2352	0.74961	1.334
HMR_0409	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	23.9532__30.7326	14.6692__16.02	0__0	22.4895__30.0017	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	12.424	19.0948	33.4953	41.4824	0.74961	1.334
HMR_0413	0.49557	0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	0.30964__0.39728	0.18963__0.20709	0__0	0.29072__0.38783	0.689__0.50447	3.6412__3.7694	1	1.2555e-205	0.16061	0.24684	0.433	0.53625	0.74961	1.334
HMR_0417	0.49557	-0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	-0.08847__-0.11351	0.05418__0.059169	0__0	-0.083064__-0.11081	-0.689__-0.50447	3.6412__3.7694	1	1.2555e-205	-0.12371	-0.15321	-0.045888	-0.070525	0.74961	1.334
HMR_0421	0.49557	-0.2894	0.14496	1.2555e-205	7.7119e-209	9.2913e-210	-0.08847__-0.11351	0.05418__0.059169	0__-0.19562	-0.083064__-0.11081	-0.689__-0.50447	3.6412__3.7694	1	1.2555e-205	-0.12371	-0.15321	-0.045888	-0.070525	0.74961	1.334
HMR_0425	0.49557	-0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	-0.84046__-1.0783	0.51471__0.56211	0__0	-0.7891__-1.0527	-0.689__-0.50447	3.6412__3.7694	1	1.2555e-205	-1.1753	-1.4555	-0.43593	-0.66999	0.74961	1.334
HMR_0429	0.49557	-0.2894	0.14496	1.2555e-205	7.7119e-209	9.292e-210	-0.08847__-0.11351	0.05418__0.059169	0__-0.19562	-0.083064__-0.11081	-0.689__-0.50447	3.6412__3.7694	1	1.2555e-205	-0.12371	-0.15321	-0.045888	-0.070525	0.74961	1.334
