reaction	jaccardindex	KolmogorovSmirnow	KolmogorovSmirenow_pvalue	T - test_pvalue	Anova_pvalue	Wilcoxon_Mann_Whitney_pvalue	Mean	Std	Mode	Median	skew	kurt	Ttest_H	Ttest_pvalue	minFlux_lungmetastasis	minFlux_breastcancer	maxFlux_lungmetastasis	maxFlux_breastcancer	perc_brainmet/breastcancer	perc_breastcancer/brainmet
HMR_9152	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	-0.0015771__-0.0016438	0.00050027__0.00054177	-0.0069572__0	-0.0015532__-0.0016263	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-0.0018535	-0.0019116	-0.0012799	-0.0013497	0.95508	0.95508
HMR_9154	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	-0.0015771__-0.0016438	0.00050027__0.00054177	-0.0069572__0	-0.0015532__-0.0016263	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-0.0018535	-0.0019116	-0.0012799	-0.0013497	0.95508	0.95508
HMR_9155	0.76594	-0.0949	0.14505	1.0965e-46	1.3456e-46	3.5246e-30	-155.6323__-184.8519	129.5624__156.6994	0__0	-124.2934__-145.2842	-1.3497__-1.3754	5.7373__5.3536	1	1.0965e-46	-226.4253	-264.0544	-54.3197	-65.7804	0.85552	0.85552
HMR_9159	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	-0.0015771__-0.0016438	0.00050027__0.00054177	-0.0069572__0	-0.0015532__-0.0016263	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-0.0018535	-0.0019116	-0.0012799	-0.0013497	0.95508	0.95508
HMR_9167	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	-0.0015771__-0.0016438	0.00050027__0.00054177	-0.0069572__0	-0.0015532__-0.0016263	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-0.0018535	-0.0019116	-0.0012799	-0.0013497	0.95508	0.95508
HMR_9215	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	-0.0023587__-0.0024586	0.00074822__0.0008103	-0.010406__0	-0.0023231__-0.0024324	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-0.0027722	-0.0028591	-0.0019142	-0.0020186	0.95508	0.95508
HMR_9235	0.0	-0.6472	0.14496	0	0	0	-12.8766__-37.8145	4.08463__25.888	-56.8052__-17.9587	-12.6821__-33.1791	-2.201__-0.93	21.9538__3.99917	1	0	-15.1337	-53.7192	-10.45	-17.3314	0.38223	0.38223
HMR_9242	0.94461	0.0102	0.14496	0.26291	0.28497	0.74881	286.1432__289.2163	204.8204__201.624	0__-7.6359e-14	289.157__290.368	-0.08082__0.042264	3.3177__3.3943	0	0.26291	150.9556	158.9837	424.4532	417.3321	0.99583	0.99583
HMR_9253	0.94301	0.0293	0.14522	0.0079696	0.010077	0.053337	-317.8764__-309.6969	220.2594__229.1576	-1000__-500	-317.3623__-312.0794	0.049517__0.23381	3.1003__3.3415	1	0.0079696	-470.3322	-469.6533	-172.9906	-155.742	1.0169	1.0169
HMR_9254	0.70151	0.1497	0.14505	2.9407e-58	4.2695e-59	3.0552e-57	-189.5099__-118.2829	293.1243__325.3852	-1000__-1000	-195.1009__-119.7342	0.17565__0.11101	3.0516__2.9082	1	2.9407e-58	-389.1881	-342.3126	-0.00043513	98.7738	1.6294	1.6294
HMR_9262	0.97444	-0.0082	0.14548	0.65921	0.65795	0.59761	-277.5324__-278.7719	197.8532__198.0477	0__0	-241.6018__-242.4133	-0.75368__-0.75743	2.9959__3.1222	0	0.65921	-401.0455	-407.859	-117.9202	-118.5183	0.99665	0.99665
HMR_9269	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	-0.0015771__-0.0016438	0.00050027__0.00054177	-0.0069572__0	-0.0015532__-0.0016263	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-0.0018535	-0.0019116	-0.0012799	-0.0013497	0.95508	0.95508
HMR_9271	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	-0.00039312__-0.00040977	0.0001247__0.00013505	-0.0017343__0	-0.00038718__-0.0004054	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-0.00046203	-0.00047651	-0.00031904	-0.00033644	0.95508	0.95508
HMR_9273	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	0.00039312__0.00040977	0.0001247__0.00013505	-7.1808e-15__0	0.00038718__0.0004054	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	0.00031904	0.00033644	0.00046203	0.00047651	0.95508	0.95508
HMR_9285	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	-0.92974__-0.96911	0.29493__0.3194	-2.0508__0	-0.91569__-0.95876	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-1.0927	-1.127	-0.75453	-0.79567	0.95508	0.95508
HMR_9290	0.63805	-0.1583	0.14522	3.8781e-74	8.6784e-78	2.1014e-76	101.1421__35.38181	241.6378__254.1488	1000__1000	81.7742__25.4133	0.32005__0.22161	3.5364__3.8702	1	3.8781e-74	-54.1836	-123.2688	243.8405	180.0518	3.2178	3.2178
HMR_9292	0.60335	-0.2079	0.14505	1.2284e-130	4.0726e-114	1.7252e-131	257.7989__187.0618	206.8388__230.3023	5.684342e-14__1000	254.8255__167.8027	0.19161__0.38197	2.9903__4.3733	1	1.2284e-130	107.05	31.738	400.0127	329.2483	1.5186	1.5186
HMR_9297	0.82153	-0.0624	0.14496	3.6372e-15	1.0881e-13	9.3441e-19	-100.7145__-122.4247	208.0426__204.8973	-500__-500	-97.06212__-125.9509	-0.17215__0.079932	3.4866__3.1465	1	3.6372e-15	-231.4704	-259.877	34.8876	10.6887	0.77063	0.77063
HMR_9348	0.79755	-0.081	0.14496	2.0684e-18	1.4785e-19	2.8787e-28	-1.7366__-1.8101	0.55086__0.59656	-7.6608__-7.4642	-1.7103__-1.7908	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-2.0409	-2.1049	-1.4093	-1.4861	0.95508	0.95508
HMR_9351	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8808e-28	-0.33337__-0.34748	0.10575__0.11452	-1.4707__0	-0.32833__-0.34377	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-0.3918	-0.40408	-0.27054	-0.2853	0.95508	0.95508
HMR_9354	0.81716	-0.0556	0.1453	8.3238e-33	2.3843e-31	7.3465e-29	-340.9351__-378.612	217.4084__238.8039	-1000__-1000	-341.2881__-381.8002	-0.046394__0.00020684	2.681__2.7052	1	8.3238e-33	-500.0	-545.6236	-183.1613	-203.8111	0.89389	0.89389
HMR_9358	0.76594	0.0946	0.14496	1.0965e-46	1.3456e-46	3.5406e-30	155.6323__184.8519	129.5624__156.6994	0__500	124.2934__145.2842	1.3497__1.3754	5.7373__5.3536	1	1.0965e-46	54.3197	65.7804	226.4253	264.0544	0.85552	0.85552
HMR_9362	1.0	0.0	1.0	none	none	none	0__0	0__0	0__0	0__0	none	none	none	none	0.0	0.0	0.0	0.0	none	none
HMR_9372	0.058487	-0.5876	0.14496	0	0	0	-73.96477__-176.4316	44.41014__112.9871	-409.758__-500	-68.27586__-156.9749	-0.88567__-0.83114	4.5863__3.6556	1	0	-100.658	-248.8517	-40.9129	-88.4962	0.43495	0.43495
HMR_9378	0.79755	-0.0812	0.14496	2.0684e-18	1.4785e-19	2.8752e-28	-0.071831__-0.074872	0.022786__0.024676	-0.31688__-0.30875	-0.070746__-0.074073	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-0.084422	-0.087068	-0.058294	-0.061473	0.95508	0.95508
HMR_9383	0.86351	-0.0265	0.14573	3.5279e-12	1.1603e-12	2.0778e-09	-370.8201__-392.2848	200.7091__225.2515	-500__0	-360.8688__-381.8561	-0.24262__-0.22219	2.455__2.2803	1	3.5279e-12	-515.3492	-559.6646	-217.9491	-215.2547	0.94504	0.94504
HMR_9389	1.0	0.0	1.0	none	none	none	0__0	0__0	0__0	0__0	none	none	none	none	0.0	0.0	0.0	0.0	none	none
HMR_9404	0.79755	-0.081	0.14496	2.0683e-18	1.4784e-19	2.8767e-28	-0.016539__-0.017239	0.0052463__0.0056816	-0.07296__0	-0.016289__-0.017055	-2.201__-2.3303	21.9539__22.5881	1	2.0683e-18	-0.019438	-0.020047	-0.013422	-0.014154	0.95508	0.95508
HMR_9406	0.57029	-0.2463	0.14539	1.0581e-168	8.798e-161	3.0417e-156	373.4252__280.2328	243.6473__239.6645	500__500	376.1936__279.0081	-0.11002__0.079784	2.5517__2.8715	1	1.0581e-168	192.8182	107.3801	557.3724	449.4448	1.3483	1.3483
HMR_9418	0.67663	0.1594	0.1453	7.1081e-84	3.9595e-86	6.7126e-98	577.0223__634.0628	188.3382__218.6669	500__0	598.0106__660.5479	-0.44381__-0.45323	2.8034__2.5356	1	7.1081e-84	455.099	480.267	717.2265	805.3068	0.90533	0.90533
HMR_9421	0.0	0.6472	0.14496	0	0	0	12.8766__37.8145	4.08463__25.888	-1.51294e-08__17.9587	12.6821__33.1791	2.201__0.93	21.9538__3.99917	1	0	10.45	17.3314	15.1337	53.7192	0.38223	0.38223
HMR_9422	0.90338	-0.0334	0.14496	0.00075588	0.0010416	9.6e-06	183.2459__179.9353	70.4554__72.2938	-3.0335e-10__-2.2956e-12	175.1836__169.8568	0.73564__0.9604	4.4689__4.8027	1	0.00075588	132.7562	129.8888	225.7097	219.3192	1.0314	1.0314
HMR_9437	0.76557	0.1364	0.14496	8.2031e-43	8.064e-41	2.1803e-37	420.3277__451.1429	157.7566__167.115	1000__1000	415.2223__445.0233	0.28383__0.21623	2.9681__2.7756	1	8.2031e-43	306.8711	329.6774	527.0816	564.7245	0.93304	0.93304
HMR_9440	0.60659	-0.1922	0.14496	8.7147e-116	2.2276e-117	8.846e-111	-450.2388__-496.2497	135.86__144.6437	-475.9248__-1000	-445.5668__-488.4078	-0.2562__-0.17642	3.0734__3.0022	1	8.7147e-116	-540.3859	-593.2908	-354.9351	-395.8012	0.91228	0.91228
HMR_9450	0.57681	0.1943	0.14505	4.5171e-147	3.2587e-152	1.0871e-134	-292.4517__-227.7566	185.8243__158.2114	0__-500	-270.2604__-204.6772	-0.51858__-1.036	2.6703__4.8664	1	4.5171e-147	-419.7887	-324.3718	-142.8861	-105.1528	1.3204	1.3204
HMR_9456	0.85375	0.0657	0.14556	3.2459e-18	9.4814e-19	1.0852e-14	-280.8614__-257.8071	191.1744__176.9629	-500__-500	-255.2991__-228.1167	-0.73115__-0.7695	3.178__3.3043	1	3.2459e-18	-401.1242	-372.0152	-128.2004	-115.5416	1.1192	1.1192
HMR_9463	0.82314	0.071	0.14496	4.0523e-40	2.7673e-40	1.1696e-21	296.2406__326.503	141.9888__177.4436	0__0	290.2918__308.7233	0.31335__0.56058	2.9029__3.1954	1	4.0523e-40	195.2306	195.0296	389.79	431.3908	0.9403	0.9403
HMR_9690	0.0	0.6507	0.14522	0	0	0	-111.6912__0	119.8241__0	0__0	-86.8142__0	none	none	1	0	-184.7279	0.0	-18.9056	0.0	-Inf	-Inf
HMR_9691	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	-0.0015771__-0.0016438	0.00050027__0.00054177	-0.0069572__0	-0.0015532__-0.0016263	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-0.0018535	-0.0019116	-0.0012799	-0.0013497	0.95508	0.95508
HMR_9729	0.79755	-0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	-15.4735__-16.1287	4.9084__5.3157	-34.1307__0	-15.2398__-15.9565	-2.201__-2.3303	21.9538__22.5881	1	2.0684e-18	-18.1858	-18.7558	-12.5575	-13.2423	0.95508	0.95508
HMR_10024	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	38.0934__39.7064	12.0837__13.0863	-6.9581e-10__0	37.5179__39.2825	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	30.9146	32.6004	44.7706	46.1739	0.95508	0.95508
HMR_10047	0.79755	0.0808	0.14496	2.0684e-18	1.4785e-19	2.8806e-28	0.51653__0.5384	0.16385__0.17744	-9.4349e-12__0	0.50873__0.53265	2.201__2.3303	21.9538__22.5881	1	2.0684e-18	0.41919	0.44205	0.60707	0.6261	0.95508	0.95508
Fatty acid activation (cytosolic)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
HMR_0156	0.7016	0.1354	0.14513	9.019e-50	3.4461e-47	7.627e-56	297.5602__343.263	205.3117__240.1299	1000__1000	293.8482__346.8695	0.2181__-0.29631	3.0547__4.1238	1	9.019e-50	147.1886	181.7359	437.5277	511.7718	0.84714	0.84714
HMR_0168	0.57257	-0.2112	0.14513	8.2759e-146	3.3789e-152	4.0638e-137	300.6777__197.7356	261.5549__287.0669	1000__500	299.966__199.8405	-0.0712__-0.13825	2.6585__2.9575	1	8.2759e-146	117.7722	6.8143	492.58	395.9089	1.501	1.501
HMR_0180	0.0	-0.3357	0.14505	0	0	0	0__-112.3469	0__248.7009	0__-906.31	0__-109.1618	none	none	1	0	0.0	-286.4041	0.0	57.826	0	0
HMR_0188	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	0.10291__0.11351	0.05731__0.059169	-6.6263e-16__0	0.098295__0.11081	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	0.060357	0.070525	0.14007	0.15321	0.88706	0.88706
HMR_0192	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2372e-40	0.10291__0.11351	0.05731__0.059169	-6.6263e-16__0	0.098295__0.11081	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	0.060357	0.070525	0.14007	0.15321	0.88706	0.88706
HMR_0196	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	3.4219__3.7742	1.9055__1.9674	-2.2033e-14__6.5042	3.2683__3.6844	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	2.0069	2.345	4.6572	5.0943	0.88706	0.88706
HMR_0200	0.7489	-0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	-0.10291__-0.11351	0.05731__0.059169	-0.3969__0	-0.098295__-0.11081	-0.61253__-0.50447	3.7222__3.7694	1	3.1313e-37	-0.14007	-0.15321	-0.060357	-0.070525	0.88706	0.88706
HMR_0204	0.7489	-0.11	0.14496	3.1313e-37	1.0247e-37	2.2372e-40	-0.10291__-0.11351	0.05731__0.059169	-0.3969__-0.19562	-0.098295__-0.11081	-0.61253__-0.50447	3.7222__3.7694	1	3.1313e-37	-0.14007	-0.15321	-0.060357	-0.070525	0.88706	0.88706
HMR_0209	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	0.10291__0.11351	0.05731__0.059169	-6.6263e-16__0	0.098295__0.11081	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	0.060357	0.070525	0.14007	0.15321	0.88706	0.88706
HMR_0213	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2372e-40	0.10291__0.11351	0.05731__0.059169	-6.6263e-16__0	0.098295__0.11081	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	0.060357	0.070525	0.14007	0.15321	0.88706	0.88706
HMR_0217	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2374e-40	57.1169__62.9975	31.8068__32.8388	-3.6776e-13__0	54.5538__61.4994	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	33.4981	39.1416	77.7362	85.0332	0.88706	0.88706
HMR_0226	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	5.6345__6.2146	3.1377__3.2395	-3.6279e-14__0	5.3817__6.0668	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	3.3045	3.8613	7.6686	8.3884	0.88706	0.88706
HMR_0233	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	0.10291__0.11351	0.05731__0.059169	-6.6263e-16__0	0.098295__0.11081	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	0.060357	0.070525	0.14007	0.15321	0.88706	0.88706
HMR_0237	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	0.10291__0.11351	0.05731__0.059169	-6.6263e-16__0	0.098295__0.11081	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	0.060357	0.070525	0.14007	0.15321	0.88706	0.88706
HMR_0241	0.7489	-0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	-0.10291__-0.11351	0.05731__0.059169	-0.3969__-0.19562	-0.098295__-0.11081	-0.61253__-0.50447	3.7222__3.7694	1	3.1313e-37	-0.14007	-0.15321	-0.060357	-0.070525	0.88706	0.88706
HMR_0245	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	0.10291__0.11351	0.05731__0.059169	-6.6263e-16__0	0.098295__0.11081	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	0.060357	0.070525	0.14007	0.15321	0.88706	0.88706
HMR_0249	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	38.541__42.5091	21.4624__22.1588	-2.4816e-13__0	36.8115__41.4982	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	22.6036	26.4118	52.4544	57.3782	0.88706	0.88706
HMR_0255	0.7489	-0.11	0.14496	3.1313e-37	1.0247e-37	2.2372e-40	-0.10291__-0.11351	0.05731__0.059169	-0.3969__0	-0.098295__-0.11081	-0.61253__-0.50447	3.7222__3.7694	1	3.1313e-37	-0.14007	-0.15321	-0.060357	-0.070525	0.88706	0.88706
HMR_0259	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	6.4321__7.0943	3.5818__3.6981	-4.1415e-14__0	6.1434__6.9256	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	3.7723	4.4078	8.7541	9.5758	0.88706	0.88706
HMR_0267	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	0.10291__0.11351	0.05731__0.059169	-6.6263e-16__0	0.098295__0.11081	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	0.060357	0.070525	0.14007	0.15321	0.88706	0.88706
HMR_0275	0.7489	-0.11	0.14496	3.1313e-37	1.0247e-37	2.2372e-40	-0.10291__-0.11351	0.05731__0.059169	-0.3969__-0.19562	-0.098295__-0.11081	-0.61253__-0.50447	3.7222__3.7694	1	3.1313e-37	-0.14007	-0.15321	-0.060357	-0.070525	0.88706	0.88706
HMR_0279	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	0.10291__0.11351	0.05731__0.059169	-6.6263e-16__0	0.098295__0.11081	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	0.060357	0.070525	0.14007	0.15321	0.88706	0.88706
HMR_0283	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2372e-40	0.10291__0.11351	0.05731__0.059169	-6.6263e-16__0	0.098295__0.11081	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	0.060357	0.070525	0.14007	0.15321	0.88706	0.88706
HMR_0289	0.7489	-0.11	0.14496	3.1313e-37	1.0247e-37	2.2372e-40	-0.10291__-0.11351	0.05731__0.059169	-0.3969__0	-0.098295__-0.11081	-0.61253__-0.50447	3.7222__3.7694	1	3.1313e-37	-0.14007	-0.15321	-0.060357	-0.070525	0.88706	0.88706
HMR_0293	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	0.10291__0.11351	0.05731__0.059169	-6.6263e-16__0	0.098295__0.11081	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	0.060357	0.070525	0.14007	0.15321	0.88706	0.88706
HMR_0297	0.7489	-0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	-0.10291__-0.11351	0.05731__0.059169	-0.3969__0	-0.098295__-0.11081	-0.61253__-0.50447	3.7222__3.7694	1	3.1313e-37	-0.14007	-0.15321	-0.060357	-0.070525	0.88706	0.88706
HMR_0301	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2372e-40	0.10291__0.11351	0.05731__0.059169	-6.6263e-16__0.19562	0.098295__0.11081	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	0.060357	0.070525	0.14007	0.15321	0.88706	0.88706
HMR_0305	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2372e-40	0.10291__0.11351	0.05731__0.059169	-6.6263e-16__0.19562	0.098295__0.11081	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	0.060357	0.070525	0.14007	0.15321	0.88706	0.88706
HMR_0309	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	0.10291__0.11351	0.05731__0.059169	-6.6263e-16__0	0.098295__0.11081	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	0.060357	0.070525	0.14007	0.15321	0.88706	0.88706
HMR_0313	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2372e-40	0.10291__0.11351	0.05731__0.059169	-6.6263e-16__0	0.098295__0.11081	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	0.060357	0.070525	0.14007	0.15321	0.88706	0.88706
HMR_0319	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2372e-40	0.10291__0.11351	0.05731__0.059169	-6.6263e-16__0	0.098295__0.11081	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	0.060357	0.070525	0.14007	0.15321	0.88706	0.88706
HMR_0323	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	0.10291__0.11351	0.05731__0.059169	-6.6263e-16__0	0.098295__0.11081	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	0.060357	0.070525	0.14007	0.15321	0.88706	0.88706
HMR_0327	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2372e-40	0.10291__0.11351	0.05731__0.059169	-6.6263e-16__0	0.098295__0.11081	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	0.060357	0.070525	0.14007	0.15321	0.88706	0.88706
HMR_0331	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2372e-40	0.10291__0.11351	0.05731__0.059169	-6.6263e-16__0	0.098295__0.11081	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	0.060357	0.070525	0.14007	0.15321	0.88706	0.88706
HMR_0337	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2372e-40	0.10291__0.11351	0.05731__0.059169	-6.6263e-16__0	0.098295__0.11081	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	0.060357	0.070525	0.14007	0.15321	0.88706	0.88706
HMR_0341	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	0.10291__0.11351	0.05731__0.059169	-6.6263e-16__0	0.098295__0.11081	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	0.060357	0.070525	0.14007	0.15321	0.88706	0.88706
HMR_0345	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	0.10291__0.11351	0.05731__0.059169	-6.6263e-16__0	0.098295__0.11081	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	0.060357	0.070525	0.14007	0.15321	0.88706	0.88706
HMR_0349	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	2.1612__2.3837	1.2035__1.2425	-1.3915e-14__4.1079	2.0642__2.327	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	1.2675	1.481	2.9414	3.2175	0.88706	0.88706
HMR_0353	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	0.64321__0.70943	0.35818__0.36981	-4.1415e-15__0	0.61434__0.69256	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	0.37723	0.44078	0.87541	0.95758	0.88706	0.88706
HMR_0357	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	2.9588__3.2634	1.6476__1.7011	-1.9051e-14__0	2.826__3.1858	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	1.7353	2.0276	4.0269	4.4049	0.88706	0.88706
HMR_0361	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2372e-40	2.9845__3.2918	1.662__1.7159	-1.9216e-14__0	2.8506__3.2135	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	1.7503	2.0452	4.0619	4.4432	0.88706	0.88706
HMR_0365	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	1.518__1.6743	0.84532__0.87274	-9.7739e-15__0	1.4499__1.6344	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	0.89026	1.0403	2.066	2.2599	0.88706	0.88706
HMR_0369	0.7489	-0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	-0.10291__-0.11351	0.05731__0.059169	-0.3969__-0.19562	-0.098295__-0.11081	-0.61253__-0.50447	3.7222__3.7694	1	3.1313e-37	-0.14007	-0.15321	-0.060357	-0.070525	0.88706	0.88706
HMR_0373	0.7489	-0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	-0.10291__-0.11351	0.05731__0.059169	-0.3969__-0.19562	-0.098295__-0.11081	-0.61253__-0.50447	3.7222__3.7694	1	3.1313e-37	-0.14007	-0.15321	-0.060357	-0.070525	0.88706	0.88706
HMR_0377	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2372e-40	7.1525__7.8889	3.983__4.1122	-4.6053e-14__0	6.8315__7.7013	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	4.1948	4.9015	9.7345	10.6483	0.88706	0.88706
HMR_0381	0.7489	-0.11	0.14496	3.1313e-37	1.0247e-37	2.2372e-40	-0.10291__-0.11351	0.05731__0.059169	-0.3969__-0.19562	-0.098295__-0.11081	-0.61253__-0.50447	3.7222__3.7694	1	3.1313e-37	-0.14007	-0.15321	-0.060357	-0.070525	0.88706	0.88706
HMR_0385	0.7489	-0.11	0.14496	3.1313e-37	1.0247e-37	2.2372e-40	-0.10291__-0.11351	0.05731__0.059169	-0.3969__0	-0.098295__-0.11081	-0.61253__-0.50447	3.7222__3.7694	1	3.1313e-37	-0.14007	-0.15321	-0.060357	-0.070525	0.88706	0.88706
HMR_0389	0.7489	-0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	-0.10291__-0.11351	0.05731__0.059169	-0.3969__0	-0.098295__-0.11081	-0.61253__-0.50447	3.7222__3.7694	1	3.1313e-37	-0.14007	-0.15321	-0.060357	-0.070525	0.88706	0.88706
HMR_0393	0.7489	-0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	-0.10291__-0.11351	0.05731__0.059169	-0.3969__-0.19562	-0.098295__-0.11081	-0.61253__-0.50447	3.7222__3.7694	1	3.1313e-37	-0.14007	-0.15321	-0.060357	-0.070525	0.88706	0.88706
HMR_0397	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	49.2697__54.3424	27.4369__28.3271	-3.17236e-13__93.651	47.0588__53.0502	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	28.8958	33.7641	67.0562	73.3507	0.88706	0.88706
HMR_0401	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2372e-40	0.74612__0.82294	0.41549__0.42898	-4.8041e-15__0	0.71264__0.80337	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	0.43759	0.51131	1.0155	1.1108	0.88706	0.88706
HMR_0405	0.7489	0.11	0.14496	3.1313e-37	1.0247e-37	2.2373e-40	5.5316__6.1011	3.0804__3.1803	-3.5617e-14__0	5.2834__5.956	0.61253__0.50447	3.7222__3.7694	1	3.1313e-37	3.2442	3.7907	7.5285	8.2352	0.88706	0.88706
